2025-04-14 00:28:20 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 08:57:53 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 09:05:01 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 60.00%
2025-04-14 09:05:01 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 50.00%
2025-04-14 09:05:01 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 10:31:06 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 11:09:38 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 11:15:51 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 11:15:51 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 30.00%
2025-04-14 11:15:51 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 11:34:14 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 11:36:13 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-14 11:36:13 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 0.00%
2025-04-14 11:36:13 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 11:56:11 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 11:57:34 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-14 11:57:34 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-14 11:57:34 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 12:11:50 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 12:18:21 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 55.56%
2025-04-14 12:18:21 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 44.44%
2025-04-14 12:18:21 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 16:08:04 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:11:28 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:21:10 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:26:02 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:30:37 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:35:43 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:39:00 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:40:08 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 16:47:56 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 75.00%
2025-04-14 16:47:56 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 25.00%
2025-04-14 16:47:56 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 16:57:24 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 17:07:38 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 55.56%
2025-04-14 17:07:38 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 44.44%
2025-04-14 17:07:38 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-14 17:09:43 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-14 17:19:02 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 71.43%
2025-04-14 17:19:02 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 28.57%
2025-04-14 17:19:02 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 03:55:08 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 03:59:50 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:00:37 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:01:44 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:02:24 | INFO     | get_llm_labels  | No valid predictions to compute accuracy.
2025-04-15 04:02:24 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 04:06:07 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:11:18 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:16:49 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 66.67%
2025-04-15 04:16:49 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 33.33%
2025-04-15 04:16:49 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 04:24:40 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 04:30:36 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 66.67%
2025-04-15 04:30:36 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 44.44%
2025-04-15 04:30:36 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 05:27:23 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 05:36:54 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 50.00%
2025-04-15 05:36:54 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 37.50%
2025-04-15 05:36:54 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 06:00:26 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 06:01:30 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 06:13:37 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 06:15:49 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 06:21:30 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 55.56%
2025-04-15 06:21:30 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 77.78%
2025-04-15 06:21:30 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 06:57:11 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 07:05:36 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 66.67%
2025-04-15 07:05:36 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-15 07:05:36 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 08:26:00 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 08:33:15 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 08:33:53 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 100.00%
2025-04-15 08:33:53 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-15 08:33:53 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 08:36:13 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 09:03:25 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 44.68%
2025-04-15 09:03:25 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 87.23%
2025-04-15 09:03:25 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 09:09:49 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 09:10:42 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 100.00%
2025-04-15 09:10:42 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-15 09:10:42 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 09:15:39 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 09:47:57 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 41.67%
2025-04-15 09:47:57 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 81.25%
2025-04-15 09:47:57 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 10:03:01 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 10:38:36 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 61.22%
2025-04-15 10:38:36 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 81.63%
2025-04-15 10:38:36 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 10:47:41 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 11:25:44 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 63.04%
2025-04-15 11:25:44 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 78.26%
2025-04-15 11:25:44 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 11:59:10 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 12:17:57 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 45.95%
2025-04-15 12:17:57 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 83.78%
2025-04-15 12:17:57 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 14:31:38 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 14:41:02 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 14:59:43 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 40.54%
2025-04-15 14:59:43 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 78.38%
2025-04-15 14:59:43 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 15:44:05 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 16:17:30 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 57.14%
2025-04-15 16:17:30 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 77.55%
2025-04-15 16:17:30 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 16:31:08 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 17:07:44 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 56.82%
2025-04-15 17:07:44 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 81.82%
2025-04-15 17:07:44 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 17:20:55 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 17:53:54 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 58.70%
2025-04-15 17:53:54 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 82.61%
2025-04-15 17:53:54 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 19:14:46 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 20:08:51 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 20:38:00 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 51.11%
2025-04-15 20:38:00 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 75.56%
2025-04-15 20:38:00 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-15 20:49:21 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-15 21:15:08 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 54.17%
2025-04-15 21:15:08 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 75.00%
2025-04-15 21:15:08 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 04:44:35 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 04:45:54 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 04:45:54 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 04:45:54 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 04:55:19 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 04:56:42 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 04:56:42 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 04:56:42 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 05:11:02 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 05:12:15 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 05:12:15 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 05:12:15 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 05:50:31 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 05:52:00 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 05:52:00 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 05:52:00 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 07:18:48 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 07:25:25 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 55.56%
2025-04-16 07:25:25 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 66.67%
2025-04-16 07:25:25 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 08:36:28 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 08:39:05 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 100.00%
2025-04-16 08:39:05 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 50.00%
2025-04-16 08:39:05 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 09:46:58 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 09:48:20 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 09:48:20 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 09:48:20 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 09:49:35 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 09:51:28 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 33.33%
2025-04-16 09:51:28 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 100.00%
2025-04-16 09:51:28 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 09:51:47 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 09:55:09 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 10:48:53 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 54.22%
2025-04-16 10:48:53 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 74.70%
2025-04-16 10:48:53 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 16:52:31 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 18:12:47 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 41.80%
2025-04-16 18:12:47 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 78.69%
2025-04-16 18:12:47 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-16 21:35:01 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-16 22:48:57 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 54.26%
2025-04-16 22:48:57 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 79.07%
2025-04-16 22:48:57 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-17 08:21:45 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-17 09:33:58 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 54.76%
2025-04-17 09:33:58 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 73.81%
2025-04-17 09:33:58 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-17 09:46:23 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-17 12:44:26 | INFO     | get_llm_labels  | Computing LLM labels...
2025-04-17 14:02:04 | INFO     | get_llm_labels  | RM Accuracy (Predicted): 55.17%
2025-04-17 14:02:04 | INFO     | get_llm_labels  | LLM Label Accuracy (True): 68.10%
2025-04-17 14:02:04 | INFO     | get_llm_labels  | Computed LLM labels successfully...
2025-04-17 14:14:51 | INFO     | get_llm_labels  | Computing LLM labels...
